Baryon,Ansatz,mPS_cut,mps_cut,chisqr,AIC,M_CB,M_CB_err,F2,F2_err,A2,A2_err,L1,L1_err,F3,F3_err,A3,A3_err,L2F,L2F_err,L2A,L2A_err,F4,F4_err,A4,A4_err,C4,C4_err
Sigma,MF4,0.52,0.57,3.3903000860711985,272.5650500143452,3.045017202530534,0.1457243631127909,-63.35895138431704,3.3796540659847807,0.1621190728826486,0.5104026278230153,-0.17455728140348492,0.08004955983189554,188.69703300597598,9.891468933271028,0.1308034959662634,0.5746525837071164,-0.052883503797673814,0.24931369113579493,0.37395700138265786,0.30773995310365576,-155.6065387600206,8.36499464859952,,,,
Sigma,MA4,0.52,0.57,4.28948385753744,276.28948385753745,0.7425461559575981,0.14019494237284547,1.4260065921735487,1.1444650065308204,3.730574272377709,2.179649178113617,-0.231031600596667,0.08294370914095461,-1.0285541533609672,1.6191924827700346,-11.1057271592759,6.133813991556821,0.07065200688831429,0.20049157345243607,0.5453799262888575,0.3300206616752345,0,0,9.564599357674759,5.1856876241475005,,
Sigma,MC4,0.52,0.57,4.262731808059441,276.26273180805947,0.8396160162455093,0.10382842198738829,1.6290497389804077,0.9232056911926789,-0.03571007448353859,0.6487535145156456,-0.21713503268870948,0.0733078480338406,-1.275432679328972,1.4873427145345834,0.39634152117015853,0.6158769565232199,0.07169093569295693,0.23457368722216354,0.4678802600649593,0.33226142909802203,0,0,0,0,-0.19232235128555114,0.4788317499725791
SigmaS,M2,0.52,0.57,6.013794703067967,268.01379470306796,1.2167845832619555,0.037083839895112325,0.5778511418363839,0.09804094706300143,0.26362950967898263,0.033138371165709724,-0.25889366985281237,0.04177030767553225,,,,,,,,,,,,,,
SigmaS,M3,0.52,0.57,4.056050686825789,270.5794358124037,1.2923723545520507,0.16714306169747895,1.021933027472277,1.2261956543255959,0.07645678699230618,1.26254913004228,-0.4851973720190108,0.13297817469734152,-1.0232256819061107,1.4206473724513815,-0.20963827038210947,1.3722389063589047,0.43849459017825176,0.6144509670812164,0.5698321526123591,0.7380192896752965,,,,,,
SigmaS,MF4,0.52,0.57,3.6895602297465393,272.6149267049578,-4.686858497954267,0.1814383597246616,177.87594522443538,2.2291411644962693,-0.5856538011094834,1.2009940934717283,-0.618787554032582,0.1364472905568737,-518.1049558161551,5.3748199160352215,0.5193356992195213,1.3449276998324278,0.8185287011084559,0.4797204433093938,0.8456595309203887,0.6474813856002832,423.28159662701285,6.178794639582861,,,,
SigmaS,MA4,0.52,0.57,4.651750562408746,276.6517505624087,1.0275855185572014,0.22263911211574205,1.000620639443555,1.5224019454909477,8.708246561125964,3.2676442264743617,-0.51698173117506,0.14535514913229397,-0.9608367136314881,2.2712166121748445,-26.18981865964473,9.609305385208572,0.4202563060261364,0.546541073865938,0.7535616547809312,0.6884727315069998,0,0,21.511771609549697,7.9641972367348615,,
SigmaS,MC4,0.52,0.57,4.449094410542525,276.4490944105425,1.3089194116548617,0.15967819745774747,1.4533827357091353,2.063590194922024,-0.31541163728967525,0.8007689627507681,-0.49646523598505965,0.13459107230464507,-1.9044128330345726,3.1125372097293798,-0.057365734583364136,0.5300963172302963,0.3543352876443169,0.5907662923913892,0.704875944758828,0.61372776378122,0,0,0,0,1.0440414256838122,1.1620072415194909
Lambda,M2,0.52,0.62,2.634395959824945,256.63439595982493,0.9873919127645119,0.029972982203037013,0.6748853039247933,0.07347032762372618,0.33317004617550783,0.015126429285425957,-0.12067754908883581,0.03330853681849445,,,,,,,,,,,,,,
Lambda,M3,0.52,0.62,2.2541652671827896,262.2049241151984,1.0164945082790133,0.10991925358740584,0.3328699724033638,1.231232301581267,0.2991258275980095,0.1946130982652885,-0.12649461417227253,0.10599279906026957,0.5529321612199751,1.8650836216829056,-0.02780364556242501,0.22313166252861175,-0.07053945593600319,0.4073120272839069,0.09044194545920635,0.20493335204831403,,,,,,
Lambda,MF4,0.52,0.62,2.228763950912172,264.2228763950912,1.6816522244258425,0.10190797606681157,-19.157996583038724,1.632579535570457,0.3021339701400419,0.18516901078873357,-0.1175841473595423,0.10114003608219284,57.56576842577155,4.1138841853054515,-0.030483709135666733,0.18794041665720923,-0.11297723417997102,0.3698332356999761,0.08864185533286514,0.1941180401194588,-46.686773420797365,4.219794943818272,,,,
Lambda,MA4,0.52,0.62,2.446475716495022,266.446475716495,0.9520202903073227,0.12027726794376337,-0.14695703861684922,1.4214411322937743,2.879769505981063,1.9971629111425067,-0.1205614854029266,0.10770293450558582,1.2400338086170395,2.0356243677265473,-7.146141056565664,5.446906585485037,-0.06584162051841716,0.41923221371163366,0.06841331963759065,0.22595223578919446,0,0,5.469472835743611,4.183624058003486,,
Lambda,MC4,0.52,0.62,2.417139269037822,266.4171392690378,1.0266636932172997,0.12024053937539403,0.1770412709312697,1.4673494681309804,0.31067117932505944,0.17759044053797476,-0.1391236108969175,0.07020667094021876,0.8280709326112201,2.137051578949395,0.03173620943451638,0.24559737333404363,-0.014763439321185508,0.020018205982505262,0.0952892010041953,0.20273235358601438,0,0,0,0,-0.28029535230407254,0.4467024463147713
Sigma,M2,0.52,0.62,7.502390226768243,261.5023902267682,0.8274483140916256,0.017140190055832116,0.7396556845256405,0.04271920635350257,0.4568456641601352,0.009816101649812947,-0.10125104547515015,0.021934622310882695,,,,,,,,,,,,,,
Sigma,M3,0.52,0.62,6.396960948577923,262.58154190441616,0.8046388526464365,0.08602173450114692,1.171802295349762,1.0002196590917034,0.5365804507704217,0.11730911767991947,-0.132651042623408,0.06607434473616863,-0.7252816562751834,1.4128242873130583,-0.13198129350426696,0.12698405331777723,0.11024097737245467,0.2283314470426822,0.029144700967888397,0.11729991238258991,,,,,,
