Baryon,beta,mPS_fix,w0mPS,M_CB,M_CB_err,F2,F2_err,F3,F3_err
Lambda,7.85,-0.72,0.4569555626634327,1.068256890075955,0.012531468990969241,0.4059900818299891,0.021219757380412152,-0.10744901475873649,0.01083970722482061
Sigma,7.85,-0.72,0.4569555626634327,0.9434687962322601,0.005990814324537075,0.5121206119354815,0.00963105216272564,-0.1488621976429886,0.0045634830099530455
SigmaS,7.85,-0.72,0.4569555626634327,1.2085580821754212,0.012336394571375031,0.35958553009173305,0.022718174629622723,-0.09120422386011243,0.012190374073441673
Lambda,7.85,-0.7,0.5890250376854261,1.172721240998042,0.009329386513455606,0.369957612472526,0.01197539623759436,-0.08979207280021352,0.005326825699564566
Sigma,7.85,-0.7,0.5890250376854261,1.051269769628208,0.0051270285295454965,0.46419503345453017,0.005958684726205643,-0.1256253825769914,0.0028050571522670875
SigmaS,7.85,-0.7,0.5890250376854261,1.2885397862275436,0.009357986222461534,0.3299247871904375,0.012054850507122072,-0.07503578267045322,0.005829539077211968
Lambda,8.0,-0.68,0.5058566214641003,1.112763615318205,0.010202217232391897,0.36659265679512787,0.016830528832685987,-0.0873048637852119,0.0077819677097286655
Sigma,8.0,-0.68,0.5058566214641003,0.9795195090628859,0.0068928116466522305,0.4959495729286507,0.011708606374156383,-0.13753393697117072,0.005767869798488229
SigmaS,8.0,-0.68,0.5058566214641003,1.250788200561966,0.01083344571845557,0.30213378726714235,0.017290697557869106,-0.061388855536795066,0.008157339585629163
Lambda,8.0,-0.66,0.660042731641855,1.2263351827602258,0.0074697047524843185,0.3519553674791785,0.011034637166171035,-0.08122945896389042,0.004986321309974687
Sigma,8.0,-0.66,0.660042731641855,1.1100602012583711,0.005033431395977672,0.44603689699916604,0.006332279589586154,-0.11615040548800104,0.0027156344217906525
SigmaS,8.0,-0.66,0.660042731641855,1.3378650039086426,0.00842397870454148,0.30214658784394094,0.012164678182016775,-0.06222064093487814,0.005462834494342844
Lambda,8.0,-0.64,0.790790595777343,1.3385335282078978,0.007780830325924137,0.33299655104918485,0.008071109939257581,-0.07379870501361971,0.003454576797227299
Sigma,8.0,-0.64,0.790790595777343,1.2666910732584653,0.0042493882717127285,0.36043648986376925,0.0028626483959615645,-0.07987717646606315,0.001076676536873572
SigmaS,8.0,-0.64,0.790790595777343,1.425972960998066,0.012792592139196701,0.3001408760869605,0.013026864287155604,-0.061129936439855634,0.005202560955167301
