ENS,Nt,Ns,beta,f_bare_mass,as_bare_mass,f_epsilon,as_epsilon,Lambda_N_source,Lambda_N_sink,Lambda_ti,Lambda_tf,Lambda_chisquare/dof,m_Lambda,m_Lambda_error,Sigma_N_source,Sigma_N_sink,Sigma_ti,Sigma_tf,Sigma_chisquare/dof,m_Sigma,m_Sigma_error,SigmaS_N_source,SigmaS_N_sink,SigmaS_ti,SigmaS_tf,SigmaS_chisquare/dof,m_SigmaS,m_SigmaS_error,R_Lambda_Sigma,R_Lambda_Sigma_error,R_Sigma_SigmaS,R_Sigma_SigmaS_error
QB1,48,24,7.62,-0.79,-0.95,0.2,0.01,100,0,10,24,0.86,1.0093434775246135,0.005110141673811741,100,0,12,24,0.97,0.9838996327101115,0.00463979610632026,100,0,12,24,0.5,1.0483684282246886,0.006633143982300194,1.0258602035905005,0.004785542336426252,0.9385055923290738,0.0039230292950210854
QB1,48,24,7.62,-0.7,-1.0,0.05,0.01,100,0,10,20,0.68,1.1264802691939124,0.0030665929158817384,100,0,12,22,0.53,1.0940201372332388,0.002633745737670834,100,0,11,20,1.03,1.1599547446786596,0.003495425947391162,1.0296705068361582,0.002102502056896993,0.9431576035635023,0.0019486258759674469
QB1,48,24,7.62,-0.73,-1.0,0.1,0.01,100,0,10,24,0.43,1.0689320311618373,0.002881838619322563,100,0,12,24,0.46,1.0363397471992823,0.002632560560780206,100,0,12,24,0.58,1.1049985219863407,0.003838441672793902,1.0314494199905349,0.002203238583587952,0.9378652790741858,0.002155134156718419
QB1,48,24,7.62,-0.75,-1.0,0.1,0.01,100,0,10,24,0.49,1.0314771607165767,0.0031482194477168157,100,0,12,24,0.54,0.9977581895376657,0.002922461779058416,100,0,12,24,0.5,1.0704474458673214,0.00410657853098062,1.0337947325639447,0.002705709501579223,0.932094511869511,0.002593810683156672
QB1,48,24,7.62,-0.77,-1.0,0.1,0.01,100,0,10,24,0.64,0.9935569145512448,0.003636049921332374,100,0,12,24,0.74,0.959168422946469,0.0036084449379671923,100,0,12,24,0.4,1.0352999690996914,0.004745275073498423,1.0358524017076562,0.0032952258707912296,0.9264642630875115,0.002945582265638791
QB1,48,24,7.62,-0.79,-1.0,0.1,0.01,100,0,10,24,0.83,0.9551770629973211,0.00475777395680177,100,0,12,24,1.07,0.9220367841962596,0.004475482649324403,100,0,12,24,0.41,0.9996569988313888,0.006127583824844018,1.0359424692909078,0.00470624654230023,0.9223531524054068,0.004067361600894492
QB1,48,24,7.62,-0.7,-1.05,0.05,0.01,100,0,12,24,0.65,1.0689931271592616,0.002870997065014258,100,0,12,24,0.45,1.0311856875544483,0.0024644214721263324,100,0,12,24,0.55,1.1048793987514884,0.0034358743927718205,1.0366640461180927,0.0017106733634948412,0.9333015790860849,0.001828037776470226
QB1,48,24,7.62,-0.73,-1.05,0.08,0.01,100,0,12,24,0.5,1.0109462900795512,0.003150946046445169,100,0,12,24,0.49,0.9718749390188905,0.0025334628311557417,100,0,12,24,0.48,1.0518565500044128,0.003839468876379426,1.0402020357682062,0.002404048065886899,0.9239614841156936,0.0024394289794557045
QB1,48,24,7.62,-0.75,-1.05,0.08,0.01,100,0,12,24,0.53,0.9720698784686931,0.003587822804414942,100,0,12,24,0.59,0.9318194143550405,0.003026371027564867,100,0,12,24,0.4,1.016847659576729,0.004200825417002951,1.0431955628886656,0.002878403118144579,0.9163805468588261,0.0028657975379380307
QB1,48,24,7.62,-0.77,-1.05,0.08,0.01,100,0,12,24,0.71,0.9325537556630756,0.004538516683523786,100,0,12,24,0.78,0.8914109174046758,0.003404139342447321,100,0,12,24,0.33,0.981798686114518,0.0047984322285008485,1.04615473902674,0.0038565641391037353,0.9079365556420196,0.003588549835745636
QB1,48,24,7.62,-0.79,-1.05,0.08,0.01,100,0,12,24,1.06,0.8935353313886423,0.006001561902840624,100,0,12,24,1.02,0.8517082059872972,0.004394182297597138,100,0,12,24,0.41,0.9472011496436415,0.006114282434730001,1.0491096893364544,0.005813035898276198,0.8991840923205479,0.004565782763065851
QB1,48,24,7.62,-0.7,-1.1,0.05,0.08,100,0,10,20,1.23,1.0070761559856352,0.0030657037059294012,100,0,12,22,0.51,0.9624068916419266,0.002437311543812992,100,0,10,20,0.87,1.0521171023361768,0.00314503140317246,1.0464141152059916,0.0023448030869490655,0.9147336256629106,0.002467535800052323
QB1,48,24,7.62,-0.73,-1.1,0.05,0.08,100,0,10,20,1.16,0.9495582248910681,0.0032052015683208257,100,0,12,22,0.5,0.9011978950159449,0.0025371133082712216,100,0,10,20,0.82,1.0002017293055752,0.003406685694346434,1.0536622756695049,0.0029015674003072256,0.9010161336569903,0.002814916250437949
QB1,48,24,7.62,-0.75,-1.1,0.05,0.08,100,0,10,20,1.08,0.9105526283236705,0.0033962266667846297,100,0,12,22,0.51,0.859364852241775,0.002717882541930061,100,0,10,20,0.82,0.9655209281862986,0.0034935654622908485,1.0595646609799843,0.0033558120983596673,0.8900530554589483,0.0031202395333903565
